answer to Q1,answer to Q2,answer to Q3,answer to Q4,answer to Q5,respondents age,respondents gender,respondent occupation
1,5,10,i think difference denying feminism has had the most cultural and political impact,no,21,female,student
1,5,10,difference denying feminism,no,21,female,student
1,3,10,Difference-honoring feminism,no,20,female,student
1,4,10,Difference-denying feminism,no,19,female,student
1,3,10,Difference-honoring feminism,no,22,male,student
1,6,10,Difference-honoring feminism,no,21,male,student
1,5,10,Difference-honoring feminism,no,20,male,student
1,7,10,Difference-honoring feminism,no,21,male,student
1,5,10,Difference-honoring feminism,no,21,female,student
1,5,10,Difference-denying feminism,no,21,male,student
